zip,area,sub_area,examinees
02135,Brighton,Brighton Center,85
02446,Brookline,Coolidge Corner,41
02116,Boston,Back Bay,31
02138,Cambridge,Cambridgeport,30
02114,Boston,West End,29
02134,Boston,Allston Village,25
02128,Boston,East Boston,25
02127,Boston,South Boston,24
02113,Boston,North End,21
02118,Boston,South End,18
02130,Boston,Jamaica Plain,18
02115,Boston,The Fenway,17
02445,Brookline,Brookline Village,16
02155,Medford,Medford Hillside,16
02139,Cambridge,Central Square,16
02215,Boston,Kenmore,15
02143,Somerville,Inman Square,14
02169,Quincy,Quincy Center,13
02144,Somerville,Davis Square,12
02125,Boston,Uphams Corner,11
02145,Somerville,Winter Hill,10
02148,Malden,Malden Center,10
02472,Watertown,Watertown Square,10
01545,Shrewsbury,Shrewsbury Center,9
02108,Boston,Beacon Hill,9
02124,Boston,Codman Square,9
02140,Cambridge,North Cambridge,9
02149,Everett,Everett Square,9
02151,Revere,Revere Beach,9
02720,Fall River,Fall River North,9
02111,Boston,Chinatown,8
02141,Cambridge,East Cambridge,8
02152,Winthrop,Winthrop Center,8
02171,Quincy,North Quincy,8
02026,Dedham,Dedham Center,7
02129,Boston,Charlestown,7
02210,Boston,Seaport,7
02453,Waltham,Waltham South,7
02474,Arlington,Arlington Heights,7
01915,Beverly,Beverly Farms,6
02131,Boston,Roslindale,6
02458,Newton,Newton Lower Falls,6
01701,Framingham,Framingham Centre,5
01742,Concord,Concord Center,5
01760,Natick,Natick Center,5
01801,Woburn,Woburn Center,5
01845,North Andover,North Andover Center,5
01880,Wakefield,Wakefield Center,5
01886,Westford,Westford Center,5
01890,Winchester,Winchester Center,5
01970,Salem,Salem Common,5
02048,Mansfield,Mansfield Center,5
02109,Boston,Downtown,5
02119,Roxbury,Roxbury Center,5
02122,Dorchester,Dorchester Center,5
02132,Boston,West Roxbury,5
02186,Milton,Milton Village,5
02356,North Easton,North Easton Center,5
02452,Waltham,Waltham West,5
02476,Arlington,Arlington Center,5
02740,New Bedford,New Bedford Center,5
01106,Longmeadow,Longmeadow Center,4
01440,Gardner,Gardner Center,4
01852,Lowell,Lowell Highlands,4
01864,North Reading,North Reading Center,4
01906,Saugus,Saugus Center,4
02093,Wrentham,Wrentham Center,4
02184,Braintree,Braintree Highlands,4
02324,Bridgewater,Bridgewater Center,4
02332,Duxbury,Duxbury Center,4
02360,Plymouth,Plymouth Center,4
02368,Randolph,Randolph Center,4
